"","logFC","logCPM","F","PValue","FDR"
"ENSMUSG00000102302.2",-5.24474905740681,1.01837941854834,64.7425461260954,5.27120033438457e-10,1.35443135536294e-09
"ENSMUSG00000022336.4",-0.778489169344187,7.51238669899511,66.011124727193,5.35105246118868e-10,1.37460444714057e-09
"ENSMUSG00000104960.3",-2.83533520818807,2.70788823966183,65.9343279824891,5.43904196476512e-10,1.39685726687874e-09
"ENSMUSG00000053565.11",-0.862192738718197,6.98603412359238,65.9006900352396,5.4653879407189e-10,1.4032715790635e-09
"ENSMUSG00000097233.2",-3.40253453828089,1.91458957024104,65.8946917171623,5.52706356380295e-10,1.4180407069256e-09
"ENSMUSG00000014074.18",-2.02823558476713,3.92520081999009,65.8290601664041,5.54242918764363e-10,1.42127089984592e-09
"ENSMUSG00000021716.15",-2.07573918428082,3.8029317214999,65.5473713375941,5.85058619935052e-10,1.49778105954402e-09
"ENSMUSG00000078184.2",-3.57138047766305,1.8130828410064,65.4297809779983,6.05576735353879e-10,1.54831076425554e-09
"ENSMUSG00000058881.14",-3.33650306362032,2.07583812977053,65.3847873159776,6.07751947816533e-10,1.55343035925554e-09
"ENSMUSG00000026770.6",-1.14493680797523,6.00915186009497,65.344008574263,6.08221335567546e-10,1.55424224523024e-09
"ENSMUSG00000025531.15",-2.07743152287785,3.84548464752151,65.3232050074644,6.1083423537468e-10,1.56052986747505e-09
"ENSMUSG00000020532.19",-2.696675727155,2.67679796320395,65.3155377575637,6.12605421671911e-10,1.56466452088871e-09
"ENSMUSG00000025764.15",-1.49082958855024,5.06243088936262,65.278007276948,6.16038197475548e-10,1.57303994478797e-09
"ENSMUSG00000041915.10",-1.51402901239087,4.84418125746793,65.2236075562081,6.22545632152332e-10,1.58886428220887e-09
"ENSMUSG00000086740.2",-4.19538592410719,1.54597429356589,65.2106698650459,6.26308557799582e-10,1.597671793022e-09
"ENSMUSG00000000804.15",-2.30779017007578,3.40709385129784,65.1424009949694,6.32652157040835e-10,1.61305038397118e-09
"ENSMUSG00000035047.10",-2.21722133189571,3.44464784961747,65.0799696911422,6.40316361349465e-10,1.63177909254571e-09
"ENSMUSG00000105895.2",-5.83593494476939,0.606411031360651,62.4537765030344,6.59588375123297e-10,1.67880321521193e-09
"ENSMUSG00000053838.15",-1.03839002797131,6.37539278705999,64.9077241955007,6.61644486046076e-10,1.683618093437e-09
"ENSMUSG00000036879.16",-1.74946237844414,4.34341141871149,64.8661314237034,6.67098379601022e-10,1.69707441725625e-09
"ENSMUSG00000107911.2",-5.91734027259877,0.654121292498692,62.3617560350161,6.71753058682717e-10,1.70849138987544e-09
"ENSMUSG00000027985.15",-0.686249005460909,7.74218694535862,64.8251027827709,6.72298428349583e-10,1.70945394815204e-09
"ENSMUSG00000022052.10",-0.803813421129254,7.26847666099918,64.7319835600717,6.84533462685887e-10,1.73970017985828e-09
"ENSMUSG00000040720.16",-1.08760574917787,5.94284486342808,64.6192567576773,6.99672182435274e-10,1.77729228484675e-09
"ENSMUSG00000044199.7",-1.17228691580628,5.68134823317212,64.5015781100557,7.15846765911117e-10,1.81657645601131e-09
"ENSMUSG00000037148.9",-2.10861254986204,3.79808051867049,64.3713016979446,7.34388024122335e-10,1.86172636905314e-09
"ENSMUSG00000020585.6",-0.84603177452709,6.81085985310661,64.251811204948,7.5143167204084e-10,1.90357733985711e-09
"ENSMUSG00000033871.15",-1.96463740541798,3.9132075191145,64.2098400404267,7.57807233707189e-10,1.91877915639778e-09
"ENSMUSG00000032803.16",-1.77168647498855,4.55847513292616,64.1968845834119,7.59598773326964e-10,1.92188997935147e-09
"ENSMUSG00000035674.14",-1.01212419812024,6.22439162028954,64.1512935263165,7.66291881416156e-10,1.93834562841795e-09
"ENSMUSG00000114555.2",-4.75014666416584,1.04871315973767,63.488481937881,7.70074588943221e-10,1.9469523426207e-09
"ENSMUSG00000121789.1",-2.9053752166159,2.42532783634196,64.0359034137265,7.85865463946513e-10,1.98589540630155e-09
"ENSMUSG00000060935.7",-1.9930895110846,3.75715556374163,63.8988588729502,8.05246083949471e-10,2.03386692769679e-09
"ENSMUSG00000032403.9",-2.49453714116591,3.17217083374585,63.8820086031434,8.08199747338072e-10,2.04082391820427e-09
"ENSMUSG00000097779.4",-3.98409171002398,1.64580956328571,63.8309081018624,8.24601230488331e-10,2.08070110930315e-09
"ENSMUSG00000049044.17",-3.14163057534446,2.15822655816782,63.7773498616295,8.28650624324880e-10,2.09040386559986e-09
"ENSMUSG00000121028.1",-3.00545041979635,2.25320689908678,63.6485382329549,8.4877183530235e-10,2.14010860097653e-09
"ENSMUSG00000037697.20",-1.75281387056642,4.24063883924362,63.6269240612115,8.49098788658252e-10,2.14040605302432e-09
"ENSMUSG00000092072.4",-4.14843249042941,1.44230738334048,63.6095543429923,8.51727798301918e-10,2.14650494837801e-09
"ENSMUSG00000061143.16",-4.10383923027314,1.49359508137352,63.5432528075543,8.66510399827728e-10,2.18161246682291e-09
"ENSMUSG00000028565.19",-3.95004403460033,1.41510457046806,63.4367529050914,8.8597118966241e-10,2.22951275786791e-09
"ENSMUSG00000112096.2",-4.20493556007671,1.21328514942802,63.2541621979625,8.92472125589957e-10,2.24476903494409e-09
"ENSMUSG00000024213.15",-1.14701170129701,5.81043263710293,63.3426308134465,8.97635773619467e-10,2.25664840289901e-09
"ENSMUSG00000022313.11",-1.74624798806879,4.26585713594585,63.1952258921298,9.24168203014822e-10,2.32107178403085e-09
"ENSMUSG00000037997.13",-1.29615897760729,5.33026288346399,63.1099745115813,9.39677918115566e-10,2.35886795032834e-09
"ENSMUSG00000044447.6",-1.91332809615951,4.07270496658089,62.991366212358,9.62044478524037e-10,2.41205864113664e-09
"ENSMUSG00000102385.3",-7.64334656590854,0.405372402495573,64.927356464428,9.6874599642687e-10,2.42826639632991e-09
"ENSMUSG00000006527.17",-2.01578904191736,3.9369650101431,62.9080542991169,9.78013878330841e-10,2.45029797990814e-09
"ENSMUSG00000020042.16",-0.84602563148759,6.76961101580264,62.8718673765702,9.84770122740556e-10,2.46662156935896e-09
"ENSMUSG00000037236.17",-0.837444516753781,6.90246927498435,62.8310923436642,9.92724161106974e-10,2.48593664011189e-09
"ENSMUSG00000099632.3",-3.58483559171309,1.77271589871399,62.8870604955177,9.93911805324541e-10,2.48830230020385e-09
