"","logFC","logCPM","F","PValue","FDR"
"ENSMUSG00000043953.13",1.41457342377266,4.37771213759437,16.696255174421,0.00020536062668599,0.000316096113393133
"ENSMUSG00000071657.13",0.549688805539713,6.81637505376546,16.6808375828881,0.000206097561165251,0.000317182753035988
"ENSMUSG00000089929.2",1.2088472685095,4.92934756411764,16.6732977295247,0.000206810390835402,0.000318231974599788
"ENSMUSG00000036513.16",0.771471708590833,5.80638765364636,16.6170106723136,0.000211054048790339,0.000324664398875136
"ENSMUSG00000031935.10",0.772429941728421,5.91853001991998,16.5994680061394,0.000212432981194746,0.000326638431676414
"ENSMUSG00000026097.10",0.731105113201715,5.9212569975209,16.5738110846982,0.000214469603540028,0.000329661395427923
"ENSMUSG00000054836.13",2.09018468209356,3.78631532486642,16.5441365723487,0.000214560947874207,0.000329712412322226
"ENSMUSG00000022681.16",0.709202898762585,6.01607972754134,16.5700024246147,0.000214771919488484,0.000329937603030007
"ENSMUSG00000006585.4",0.849673606122219,5.59827713692709,16.5674366130091,0.000214989768693907,0.000330222737097031
"ENSMUSG00000034126.6",2.529581128155,3.43448880814371,16.4307569363629,0.000216474314218779,0.000332453130338692
"ENSMUSG00000027371.11",1.67687059323296,4.24881905119285,16.5159307672337,0.000219540041312606,0.000337009757662427
"ENSMUSG00000041319.15",1.21053764571255,4.87888781862462,16.5097051553341,0.000219799392871498,0.000337357317816557
"ENSMUSG00000076463.3",7.22062966720855,2.43178904615446,16.6597194006934,0.000221422593037621,0.000339695955346213
"ENSMUSG00000039164.3",1.8499699209753,3.9049606391894,16.4377656445534,0.00022496971292891,0.00034508608653855
"ENSMUSG00000031007.3",0.601168728045435,6.39899104203093,16.44261097411,0.000225207928997333,0.000345399761723672
"ENSMUSG00000025477.15",3.26515946676811,3.19967037987746,16.1859951302553,0.000225438595811842,0.000345701766477749
"ENSMUSG00000052406.15",0.526931323822144,6.8873743142241,16.4345370647428,0.00022588537178202,0.000346335026615486
"ENSMUSG00000060038.15",0.909053725304778,5.38923346884181,16.3806229422557,0.000230511258858317,0.000353268938085723
"ENSMUSG00000031357.4",0.980192596777548,5.33088768515748,16.3740626295639,0.000231085065961013,0.000354095338954623
"ENSMUSG00000036537.7",1.69690336656905,4.03632355758222,16.3727857129495,0.000231271880944536,0.0003542755914798
"ENSMUSG00000000884.18",1.46488976828211,4.33847710265976,16.3407510828605,0.000234444171752072,0.000359027692446877
"ENSMUSG00000020534.15",1.83291370310291,4.16737952395601,16.3234465914921,0.000235575993743189,0.000360653113291142
"ENSMUSG00000059278.10",2.27913243709219,3.50231878779411,16.2381064084672,0.000236561512140435,0.000362107757785433
"ENSMUSG00000086922.3",3.84212118481154,2.85569733005601,16.1547913515954,0.00023701050008006,0.000362740816171544
"ENSMUSG00000037606.19",0.893470777440585,5.56249174893078,16.3007441055407,0.000237489149137164,0.000363419074475248
"ENSMUSG00000040713.13",0.674648534235309,6.32798881787992,16.2992504868314,0.000237601466682331,0.000363536633068485
"ENSMUSG00000021973.10",0.682513454298441,6.46540741090584,16.2941950177788,0.000238050494561601,0.000364169255459286
"ENSMUSG00000041132.12",0.583733923650076,6.43091304074193,16.2845430282847,0.000238911747320375,0.000365432215659391
"ENSMUSG00000019303.15",3.79835517709289,2.81548996710832,16.1270167985776,0.000239530733720811,0.00036632429069263
"ENSMUSG00000037349.10",1.56544244102798,4.24601835782141,16.2735590544605,0.000240390666610887,0.00036758453380542
"ENSMUSG00000024830.18",0.893402193928659,5.78652454300104,16.2610808542887,0.000241033070851529,0.00036851182440086
"ENSMUSG00000029554.16",1.00119521773148,5.15234709520674,16.250391777565,0.000242047604721525,0.000370007696650426
"ENSMUSG00000029162.16",1.50626538530454,4.28747454217086,16.2504221542379,0.000242504485249205,0.000370540196616792
"ENSMUSG00000029686.16",0.451162386067496,7.24695545592917,16.2251350691231,0.000244284154411613,0.000373148144591162
"ENSMUSG00000040463.17",0.541974601590919,6.66497685611531,16.2151026787473,0.00024520643974775,0.000374445259564106
"ENSMUSG00000027340.16",1.51100276421964,4.29257610369346,16.2201900812694,0.000245265708556799,0.000374479932474468
"ENSMUSG00000037601.12",0.492454839721794,7.16558555911138,16.2114756410075,0.00024553846739874,0.000374840510224757
"ENSMUSG00000022051.16",0.669961112407134,6.37124047427037,16.2077891938264,0.000245881707733993,0.000375308561939129
"ENSMUSG00000031979.18",0.575244737087941,6.61935468120989,16.1775914798521,0.000248680337758549,0.000379523769829095
"ENSMUSG00000028807.3",2.35526308296365,3.57693079277464,16.1001469215519,0.000249217177565005,0.000380286402357089
"ENSMUSG00000032298.14",1.23143877500208,4.68933010717102,16.1681779688406,0.000249827160357013,0.000381160401664907
"ENSMUSG00000061613.14",1.22004948800047,4.88710108194309,16.161838184166,0.000250327224815545,0.000381809595913747
"ENSMUSG00000054733.10",0.713348662566617,5.97024494823209,16.156150219981,0.000250696141994945,0.000382315349361559
"ENSMUSG00000005262.14",0.560338956361986,6.65059172128243,16.1234262672321,0.000253787874640223,0.000386857480587165
"ENSMUSG00000004043.15",0.838647211325176,5.70103485827406,16.102166461032,0.000255839618188875,0.000389868973291245
"ENSMUSG00000039428.12",0.925608675592814,5.51412897169227,16.0908813806227,0.000256938038487611,0.000391426355821822
"ENSMUSG00000116815.2",7.25331983411063,2.46283556740182,16.2511827798732,0.000257273030574479,0.000391878402609133
"ENSMUSG00000020253.16",0.731722509154455,5.84755502722972,16.0851624687834,0.000257472934777345,0.000392124579626702
"ENSMUSG00000032177.18",2.09311865011239,3.5799636380417,16.0289696851561,0.0002586084963309,0.000393795453378097
"ENSMUSG00000021175.16",0.82372190784101,5.55203607872205,16.0429977317477,0.000261599650505173,0.000398231810415276
"ENSMUSG00000002603.16",0.666712002090186,6.2152313114475,16.0107098162282,0.000264778574346589,0.000403011169335379
"ENSMUSG00000037278.10",2.68961284776447,3.20366872033314,15.8227850508446,0.000266330275190255,0.000405312730831885
"ENSMUSG00000031508.15",0.429973051742558,7.26900027549574,15.9916841203653,0.000266676386734173,0.000405779164007042
"ENSMUSG00000022420.17",1.84325231847605,3.89669089250797,15.9830743061647,0.000266812548728506,0.000405871556553602
"ENSMUSG00000033124.17",1.63642628548232,4.31396032325428,15.9956535742093,0.000266816363041926,0.000405871556553602
"ENSMUSG00000000686.12",7.17726591288333,2.39329688058587,16.1257546410967,0.000269476266716451,0.000409735143068571
"ENSMUSG00000053044.9",3.16986568916113,3.11396339140236,15.7020027085097,0.000271719364668428,0.00041290055384778
"ENSMUSG00000089911.5",0.497474661671029,6.87243824259223,15.9257766626865,0.000273384401138132,0.000415307480933958
"ENSMUSG00000038525.17",0.832807073752388,5.62981963966221,15.9201311681475,0.00027398815276037,0.000416162933497213
"ENSMUSG00000002343.12",1.73813259984493,3.94786195864219,15.9072435106112,0.000275087681363723,0.000417771060576401
"ENSMUSG00000024818.16",0.661414985214224,6.08337971347853,15.8760993895321,0.000278563047502739,0.000422923618814564
"ENSMUSG00000036941.3",1.12165360944064,4.89659509828618,15.8614323270716,0.000280257431823819,0.000425433024564926
"ENSMUSG00000028397.14",0.851799911519945,5.45143485388773,15.8507815291574,0.000281263673538781,0.000426897235385922
"ENSMUSG00000021900.11",1.23369869378617,4.63111450667911,15.833594371436,0.000283393243654814,0.000429938320472908
